Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0tgVpDi06FyKpA1z0VMD4v,"Perfect","÷ (Deluxe)","Ed Sheeran",2017-03-03,263400,90,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"soft pop","Atlantic Records UK",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
7BKLCZ1jbUBVqRi2FVlTVw,"Closer","Closer","The Chainsmokers,Halsey",2016-07-29,244960,88,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Disruptor Records/Columbia",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,4
2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,92,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
5uCax9HTNlzGybIStD3vDh,"Say You Won't Let Go","Back from the Edge","James Arthur",2016-10-28,211466,86,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"soft pop","Columbia",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4
0u2P5u6lvoDfwTYjAADbn4,"lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,88,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Darkroom",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
0TK2YIli7K1leLovkQiNik,"Señorita","Señorita","Shawn Mendes,Camila Cabello",2019-06-21,190960,79,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"pop","Island Records",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
6UelLqGlWMcVH1E5c4H7lY,"Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,174000,86,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Columbia",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
3PfIrDoz19wz7qK7tYeu62,"Don't Start Now","Future Nostalgia","Dua Lipa",2020-03-27,183290,83,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"pop","Warner Records",0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,4
6RUKPb4LETWmmr3iAEQktW,"Something Just Like This","Memories...Do Not Open","The Chainsmokers,Coldplay",2017-04-07,247160,89,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"","Disruptor Records/Columbia",0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,4
285pBltuF7vW8TeWk8hdRR,"Lucid Dreams","Goodbye & Good Riddance","Juice WRLD",2018-12-10,239835,86,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4
6DCZcSspjsKoFjzjrWoCdn,"God's Plan","Scorpion","Drake",2018-06-29,198973,84,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"rap,hip hop","Cash Money/Drake LP6",0.754,0.449,7,-9.211,1,0.109,0.0332,0.0000829,0.552,0.357,77.169,4
1HNkqx9Ahdgi1Ixy2xkKkL,"Photograph","x (Deluxe Edition)","Ed Sheeran",2014-06-21,258986,88,31omd6jobwv7iuq24hs6ntgqyiqq,2024-05-06T19:46:32Z,"soft pop","Atlantic Records UK",0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4
